sampling_point_id,begin_position,end_position,value,verification_flag,validation_flag
SPO-AD0940A-0008,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-0009,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,36.8,3,1
SPO-AD0940A-0009,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,34.4,3,1
SPO-AD0940A-0009,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,104.8,3,1
SPO-AD0940A-0009,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,237.7,3,1
SPO-AD0940A-0009,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,631.9,3,1
SPO-AD0940A-0009,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,540.2,3,1
SPO-AD0940A-0009,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9052,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,113,3,1
SPO-AD0940A-9052,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,150,3,1
SPO-AD0940A-9052,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,173,3,1
SPO-AD0940A-9052,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,255,3,1
SPO-AD0940A-9052,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,205,3,1
SPO-AD0940A-9052,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,140,3,1
SPO-AD0940A-9052,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9051,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0.3,3,1
SPO-AD0940A-9051,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0.6,3,1
SPO-AD0940A-9051,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0.4,3,1
SPO-AD0940A-9051,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0.4,3,1
SPO-AD0940A-9051,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0.2,3,1
SPO-AD0940A-9051,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0.5,3,1
SPO-AD0940A-9051,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9054,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,-0.5,3,1
SPO-AD0940A-9054,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,-0.3,3,1
SPO-AD0940A-9054,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,-1.1,3,1
SPO-AD0940A-9054,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,-1.2,3,1
SPO-AD0940A-9054,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,-0.7,3,1
SPO-AD0940A-9054,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0.7,3,1
SPO-AD0940A-9054,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9058,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,64.2,3,1
SPO-AD0940A-9058,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,63.1,3,1
SPO-AD0940A-9058,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,67.6,3,1
SPO-AD0940A-9058,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,69.9,3,1
SPO-AD0940A-9058,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,68.5,3,1
